title,author,genre,price,sales
The Lord of the Rings,J.R.R. Tolkien,Fantasy,25,1500
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,12,2000
Pride and Prejudice,Jane Austen,Romance,10,1200
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,15,1000
To Kill a Mockingbird,Harper Lee,Classic,18,1300
The Da Vinci Code,Dan Brown,Thriller,14,1100
The Great Gatsby,F. Scott Fitzgerald,Classic,12,900
The Hunger Games,Suzanne Collins,Young Adult,10,1800
And Then There Were None,Agatha Christie,Mystery,8,1400
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,15,1200